D=2.0 L=1000 n=1M nq=200K
Data points: 75688	Query points: 92077
Data points: 764	Query points: 5816
Data points: 68758	Query points: 103982
Data points: 369	Query points: 1877
Data points: 61679	Query points: 109655
Data points: 159	Query points: 631
Data points: 87638	Query points: 108191
Data points: 54	Query points: 298
Data points: 80513	Query points: 100789
Data points: 24	Query points: 129
Data points: 7027	Query points: 9339
Data points: 91574	Query points: 90471
Data points: 7	Query points: 43
Data points: 5587	Query points: 7433
Data points: 55428	Query points: 78669
Data points: 1	Query points: 13
Data points: 4501	Query points: 5906
Data points: 31123	Query points: 62339
Data points: 1	Query points: 3
Data points: 3423	Query points: 4618
Data points: 16672	Query points: 42381
Data points: 0	Query points: 1
Data points: 0	Query points: 1
Data points: 2768	Query points: 3601
Data points: 5787	Query points: 25645
Data points: 34	Query points: 57
Data points: 2135	Query points: 2795
Data points: 720	Query points: 1042
Data points: 34	Query points: 51
Data points: 1565	Query points: 2173
Data points: 533	Query points: 815
Data points: 47	Query points: 46
Data points: 1251	Query points: 1703
Data points: 434	Query points: 633
Data points: 27	Query points: 36
Data points: 953	Query points: 1338
Data points: 300	Query points: 476
Data points: 13	Query points: 26
Data points: 183	Query points: 341
Data points: 12	Query points: 18
Data points: 20276	Query points: 15602
Data points: 91	Query points: 259
Data points: 11	Query points: 14
Data points: 14076	Query points: 18334
Data points: 65	Query points: 170
Data points: 3	Query points: 10
Data points: 17828	Query points: 22931
Data points: 51	Query points: 120
Data points: 2	Query points: 6
Data points: 21577	Query points: 29305
Data points: 43	Query points: 91
Data points: 0	Query points: 3
Data points: 27262	Query points: 37669
Data points: 31	Query points: 69
Data points: 36285	Query points: 48384
Data points: 45574	Query points: 60586
Data points: 56006	Query points: 72233
Data points: 67800	Query points: 82140
Data points: 83401	Query points: 88098
Data points: 0	Query points: 1
Data points: 1832	Query points: 13921
